title,uploader,date,views,html_attr.html_elements.cards...a.href...bilibili.com.video......
笑死我了山东话怎么这么可爱,大霓奈,· 2020-03-28,835.8万,//www.bilibili.com/video/BV1Hp4y1C7Cf/
站在你面前的是七世纪最强碳基生物，亚洲洲长，东半球话事人，龙凤之姿，天日之表的大唐尚书令，中书令，陕东道邢台尚书令，山东道邢台尚书，左右武侯大将军，十二卫大将军,橘子臻讲历史,· 2024-08-26,733.1万,//www.bilibili.com/video/BV1aesEefEYi/
普 通 话,海涛wave,· 2021-03-28,518.5万,//www.bilibili.com/video/BV1QK4y1T7cT/
山 东 老 乡 开 军 舰,奶油鸽子精,· 2020-08-29,458.8万,//www.bilibili.com/video/BV1Wk4y1y7AE/
黄晓明车站遭黄渤放鸽子，一口青岛话狂吐槽，两人隔空互怼超有趣,腾讯新闻,· 2020-01-15,455.5万,//www.bilibili.com/video/BV1HJ411J73J/
普通话vs山东话，打不过根本打不过！,小聪明张建国,· 2024-07-16,328.6万,//www.bilibili.com/video/BV1BS411c7R1/
⚡山东话鬼畜⚡,嘿茗单,· 2020-10-18,322.9万,//www.bilibili.com/video/BV1xa4y1L7Mi/
来自法国的洋媳妇克罗伊一张口山东话十级！,山东卫视,· 2024-01-27,313.7万,//www.bilibili.com/video/BV1yg4y1Y7t5/
曾经我以为女孩子的声音都是天籁，直到遇到了济南话,谢大耳朵,· 2020-05-24,304.3万,//www.bilibili.com/video/BV1bT4y1g7xP/
骁话一下：你努力读书，怎么帮李二狗考了个大学？,观察者网,· 2020-06-27,254.3万,//www.bilibili.com/video/BV1dC4y187Xb/
山东人拍不了悬疑剧,山东大嘴,· 2022-04-15,237万,//www.bilibili.com/video/BV1K44y157Uy/
❤山东COSER就该说山东话❤,汤面桢子,· 2023-08-07,230.8万,//www.bilibili.com/video/BV1tj411z7ud/
山东话对颜值的影响有多大·（女神篇）！,胥渡吧,· 2021-07-11,221.6万,//www.bilibili.com/video/BV1Nq4y1W7L6/
山东话版小猪佩奇，又是蹭饭的一天,配了个锤子,· 06-02,216.5万,//www.bilibili.com/video/BV1NT7SzCENg/
皮 影 超 人,泰山皮影小官方,· 10-09,173.9万,//www.bilibili.com/video/BV1eyxrzREsP/
乡音难改！台湾教授与大陆家人重逢，一口流利的山东话太正了,闪电新闻,· 2022-09-18,173.5万,//www.bilibili.com/video/BV11d4y167rK/
吃大葱长大的话，能和他们的颜值一样优越吗？,美蛙脸脸,· 2022-12-13,171.9万,//www.bilibili.com/video/BV1zg411n76m/
邓丽君说山东话珍贵视频,精神明亮的小伙儿,· 2021-08-19,168.7万,//www.bilibili.com/video/BV1yh411i75c/
山东话到底有多简短,我就是吴迪,· 2021-11-14,162.2万,//www.bilibili.com/video/BV1Qg411P7vX/
“说山东话会影响颜值吗？”,鹅鹅鹅我是骆宾王,· 2023-01-18,156.3万,//www.bilibili.com/video/BV1UG4y1X7dq/
【今日睇真D】司机大爷呵斥乘客反被嘲笑？结局令人不安、,艺能人金广发,· 2023-12-24,146.8万,//www.bilibili.com/video/BV16e411r7SK/
山东话版小猪佩奇,配了个锤子,· 05-12,145万,//www.bilibili.com/video/BV148ELzXEUh/
山东话版小猪佩奇,配了个锤子,· 05-28,143.4万,//www.bilibili.com/video/BV1jQjvzpE5p/
中国十大难懂方言，你的家乡入榜了么？,渡哥讲副业,· 2016-12-01,140万,//www.bilibili.com/video/BV1js411s7h8/
论山东话的性缩力,汤面桢子,· 2024-10-20,136.7万,//www.bilibili.com/video/BV14Hy8YjE8V/
在台湾街头用山东话问路，路人的台湾腔都被带出了“山东味”！,大树君,· 2018-07-06,136.7万,//www.bilibili.com/video/BV1ws411p7H8/
山东话的变音，连读，倒装,山东大嘴,· 2024-06-27,133万,//www.bilibili.com/video/BV18m421V7o9/
全网都在找的山东女仆她来了！！╭(°A°`)╮,佳茗,· 2021-09-13,131.4万,//www.bilibili.com/video/BV1d341117jw/
上一秒莱茵河畔混血小公主，下一秒狂飙山东话极限反差，“有一种国际超模蹬三轮的感觉”,新民晚报,· 2023-08-21,113.5万,//www.bilibili.com/video/BV15u4y1i7HY/
于毅认为山东话一点不影响颜值，开玩笑说以后演戏都要说山东话，并在#山东卫视戏宇宙 里尝试用山东话演戏。,山东卫视,· 2024-10-17,113.4万,//www.bilibili.com/video/BV1yLyAYvETA/
淄博烧烤第二赛季的话事人，赵大爷,我是九日儿,· 2024-04-11,110.3万,//www.bilibili.com/video/BV17T421m78s/
山东话为啥不适合安慰人,我就是吴迪,· 2023-08-25,107.1万,//www.bilibili.com/video/BV1D14y117Gp/
爸爸妈妈带闺女路过八大局，一句话引网友们心酸＃淄博＃淄博八大局＃淄博烧烤,KEPT_NEW,· 2023-05-02,105.6万,//www.bilibili.com/video/BV1Vs4y1X75Y/
山东话有多简洁,我就是吴迪,· 01-30,105.1万,//www.bilibili.com/video/BV1LkFLe8ED5/
外国面孔青岛话，一张口“哈啤酒”就是内味！,山东卫视,· 2024-03-25,103.8万,//www.bilibili.com/video/BV1Hx4y1U7Hg/
【私家观察】你在食堂能最快淦到饭？,艺能人金广发,· 2021-04-10,102.9万,//www.bilibili.com/video/BV1pi4y1A7Sr/
四爷给美女老乡示范“地道山东话”,ximpoko童年你我他,· 2024-12-09,102.8万,//www.bilibili.com/video/BV1YNqNYvEbd/
泰山会制服每一个嘴硬的孩子，真是应了那句话！,南方祥宝,· 2024-04-27,102.6万,//www.bilibili.com/video/BV1v1421R7dU/
山东大爷造出高射炮，不出意外的话...,宜铭军事模型厂家,· 2024-08-16,102.5万,//www.bilibili.com/video/BV1hBege4Et8/
四川方言配音《文盲老师李二甩点名》，哈哈哈简直不能更搞笑了~[笑cry],沐羡笙,· 2016-11-06,101.9万,//www.bilibili.com/video/BV1Ms411x7kg/
12月27日（发布）山东，老公：为什么找媳妇找山东的呢？“ 看我媳妇 上得厅堂 下得厨房 ”结果老婆一张口。网友：果然山东话影响颜值！,江南都市报,· 2024-12-29,100.6万,//www.bilibili.com/video/BV1EW6bYHERm/
山东话可以有多简略,快乐源泉bot,· 2021-05-29,100.3万,//www.bilibili.com/video/BV1pq4y1j7Mf/
